financial_year,percentage,year_only,t,const
2002-07-01,0.45560577343636094,2002.0,1,1
2003-07-01,0.49894849696919713,2003.0,2,1
2004-07-01,0.39530031843636765,2004.0,3,1
2005-07-01,0.47075470414563464,2005.0,4,1
2006-07-01,0.36046683409661695,2006.0,5,1
2007-07-01,0.24077348481998417,2007.0,6,1
2008-07-01,0.3112910250826266,2008.0,7,1
2009-07-01,0.5776747267307055,2009.0,8,1
2010-07-01,0.7132947674266419,2010.0,9,1
2011-07-01,0.5273097392882545,2011.0,10,1
2012-07-01,0.6764699596041636,2012.0,11,1
2013-07-01,0.8208377169150375,2013.0,12,1
2014-07-01,0.7535844407748159,2014.0,13,1
2015-07-01,1.1598449888397442,2015.0,14,1
2016-07-01,1.0049968065522035,2016.0,15,1
2017-07-01,0.750632996482108,2017.0,16,1
2018-07-01,0.836451683909311,2018.0,17,1
2019-07-01,0.4780171141929773,2019.0,18,1
